"filename", "language", "JavaScript", "CSS", "Python", "JSON with Comments", "JSON", "HTML", "Markdown", "pip requirements", "XML", "Ini", "comment", "blank", "total"
"/Users/landy/Desktop/selfProject/toDoList_project/src/Auth/Register.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/landy/Desktop/selfProject/toDoList_project/src/components/LoginForm.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/landy/Desktop/selfProject/toDoList_project/src/components/RegistrationForm.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/landy/Desktop/selfProject/toDoList_project/src/components/ToDoForm.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 91
"/Users/landy/Desktop/selfProject/toDoList_project/src/components/ToDoList.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 327
"/Users/landy/Desktop/selfProject/toDoList_project/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/landy/Desktop/selfProject/toDoList_project/src/server.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 34
"/Users/landy/Desktop/selfProject/toDoList_project/tasks.json", "JSON with Comments", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/landy/Desktop/selfProject/toDoList_project/test_task.py", "Python", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 26, 83
"/Users/landy/Desktop/selfProject/toDoList_project/testuser.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/landy/Desktop/selfProject/toDoList_project/todo.py", "Python", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 21, 106
"Total", "-", 810, 57, 645, 1, 36539, 33, 113, 467, 1, 38, 158, 442, 39304
